timestamp,dp,di
2026-05-09 20:49:10,0.07435720992987707,0.5181608863185071
2026-05-09 20:49:19,0.07435720992987707,0.5181608863185071
2026-05-10 17:31:17,0.07435720992987707,0.5181608863185071
2026-05-10 17:34:45,0.07435720992987707,0.5181608863185071
2026-05-10 17:54:19,0.07435720992987707,0.5181608863185071
2026-05-10 19:12:45,0.07435720992987707,0.5181608863185071
2026-05-10 19:32:38,0.07435720992987707,0.5181608863185071
2026-05-10 19:37:36,0.07435720992987707,0.5181608863185071
2026-05-10 19:40:35,0.07435720992987707,0.5181608863185071
2026-05-10 19:47:06,0.07435720992987707,0.5181608863185071
2026-05-10 19:50:31,0.07435720992987707,0.5181608863185071
2026-05-10 20:14:39,0.07435720992987707,0.5181608863185071
2026-05-10 20:28:31,0.07435720992987707,0.5181608863185071
2026-05-10 20:32:59,0.07435720992987707,0.5181608863185071
2026-05-10 20:33:14,0.07435720992987707,0.5181608863185071
2026-05-10 20:37:22,0.07435720992987707,0.5181608863185071
2026-05-10 20:41:35,0.07435720992987707,0.5181608863185071
2026-05-10 23:17:10,0.07435720992987707,0.5181608863185071
2026-05-10 23:24:11,0.07435720992987707,0.5181608863185071
2026-05-10 23:26:16,0.07435720992987707,0.5181608863185071
2026-05-10 23:46:55,0.07435720992987707,0.5181608863185071
2026-05-10 23:58:08,0.07435720992987707,0.5181608863185071
2026-05-11 00:00:06,0.07435720992987707,0.5181608863185071
2026-05-11 00:03:45,0.07435720992987707,0.5181608863185071
2026-05-11 00:17:06,0.07435720992987707,0.5181608863185071
2026-05-11 01:35:03,0.07435720992987707,0.5181608863185071
